,Utterance,Emotion,tokens,token_len
0,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral,"['also', 'point', 'person', 'company', 'transition', 'kl', 'gr', 'system']",8
1,You must’ve had your hands full.,neutral,"['mustve', 'hand', 'full']",3
2,That I did. That I did.,neutral,[],0
3,So let’s talk a little bit about your duties.,neutral,"['let', 'talk', 'little', 'bit', 'duty']",5
4,My duties?  All right.,surprise,"['duty', 'right']",2
5,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral,"['youll', 'heading', 'whole', 'division', 'youll', 'lot', 'duty']",7
6,I see.,neutral,['see'],1
7,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,"['therell', 'perhaps', 'people', 'dump', 'certain', 'amount']",6
8,Good to know.,neutral,"['good', 'know']",2
9,We can go into detail,neutral,"['go', 'detail']",2
10,No don’t I beg of you!,fear,"['dont', 'beg']",2
11,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral,"['right', 'well', 'definite', 'answer', 'monday', 'think', 'say', 'confidence', 'youll', 'fit', 'well']",11
12,Really?!,surprise,['really'],1
13,Absolutely.  You can relax,neutral,"['absolutely', 'relax']",2
14,But then who? The waitress I went out with last month?,surprise,"['waitress', 'went', 'last', 'month']",4
15,You know? Forget it!,sadness,"['know', 'forget']",2
16,"No-no-no-no, no! Who, who were you talking about?",surprise,"['nononono', 'talking']",2
17,"No, I-I-I-I don't, I actually don't know",fear,"['iiii', 'dont', 'actually', 'dont', 'know']",5
18,Ok!,neutral,['ok'],1
19,"All right, well...",neutral,"['right', 'well']",2
20,"Yeah, sure!",neutral,"['yeah', 'sure']",2
21,"Hey, Mon.",neutral,"['hey', 'mon']",2
22,Hey-hey-hey. You wanna hear something that sucks.,neutral,"['heyheyhey', 'wan', 'na', 'hear', 'something', 'suck']",6
23,Do I ever.,joy,['ever'],1
24,Chris says they’re closing down the bar.,sadness,"['chris', 'say', 'theyre', 'closing', 'bar']",5
25,No way!,surprise,['way'],1
26,"Yeah, apparently they’re turning it into some kinda coffee place.",neutral,"['yeah', 'apparently', 'theyre', 'turning', 'kinda', 'coffee', 'place']",7
27,Just coffee! Where are we gonna hang out now?,disgust,"['coffee', 'gon', 'na', 'hang']",4
28,Got me.,sadness,['got'],1
29,Can I get a beer.,neutral,"['get', 'beer']",2
30,"Hey, did you pick a roommate?",neutral,"['hey', 'pick', 'roommate']",3
31,You betcha!,joy,['betcha'],1
32,Is it the Italian guy?,neutral,"['italian', 'guy']",2
33,"Um-mm, yeah right!",joy,"['ummm', 'yeah', 'right']",3
34,"Oh my God, oh my God! Poor Monica!",surprise,"['oh', 'god', 'oh', 'god', 'poor', 'monica']",6
35,"What, what, what?!",surprise,[],0
36,What?!,surprise,[],0
37,He was with her when he wrote this poem.,neutral,"['wrote', 'poem']",2
38,"Look,  'My vessel so empty with nothing inside.",neutral,"['look', 'vessel', 'empty', 'nothing', 'inside']",5
39,"Now that I've touched you, you seem emptier still.'",neutral,"['ive', 'touched', 'seem', 'emptier', 'still']",5
40,"He thinks Monica is empty, she is the empty vase!",surprise,"['think', 'monica', 'empty', 'empty', 'vase']",5
41,"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,"['oh', 'totally', 'oh', 'god', 'oh', 'seemed', 'happy']",7
42,Done.,neutral,['done'],1
43,Hey!,surprise,['hey'],1
44,Hi!,joy,['hi'],1
45,What are you doing here?,surprise,[],0
46,"Ah y'know, this building is on my paper route so I...",neutral,"['ah', 'yknow', 'building', 'paper', 'route']",5
47,Oh.,neutral,['oh'],1
48,Hi.,neutral,['hi'],1
49,Hi.,neutral,['hi'],1
50,How’d did it go?,neutral,"['howd', 'go']",2
51,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",joy,"['oh', 'well', 'woman', 'interviewed', 'pretty', 'tough', 'yknow', 'thank', 'god', 'mark', 'coached', 'started', 'talking', 'fall', 'line', 'got', 'happy', 'wouldnt', 'shut']",19
52,I’m so proud of you.,joy,"['im', 'proud']",2
53,Me too!,joy,[],0
54,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness,"['listen', 'im', 'ah', 'im', 'sorry', 'ive', 'crazy', 'jealous', 'like', 'lot']",10
55,I know.,neutral,['know'],1
56,Yeah.,neutral,['yeah'],1
57,Yeah.,neutral,['yeah'],1
58,Ameri-can.,neutral,['american'],1
59,Ameri-ccan.,neutral,['americcan'],1
60,Ameri-can. Y'know it’s a,neutral,"['american', 'yknow']",2
61,Everybody!!,surprise,['everybody'],1
62,Good job Joe! Well done! Top notch!,joy,"['good', 'job', 'joe', 'well', 'done', 'top', 'notch']",7
63,You liked it? You really liked it?,surprise,"['liked', 'really', 'liked']",3
64,"Oh-ho-ho, yeah!",joy,"['ohhoho', 'yeah']",2
65,Which part exactly?,neutral,"['part', 'exactly']",2
66,The whole thing! Can we go?,neutral,"['whole', 'thing', 'go']",3
67,"Oh no-no-no, give me some specifics.",anger,"['oh', 'nonono', 'give', 'specific']",4
68,"I love the specifics, the specifics were the best part!",joy,"['love', 'specific', 'specific', 'best', 'part']",5
69,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,"['hey', 'scene', 'kangaroo', 'diddid', 'like', 'part']",6
70,I was surprised to see a kangaroo in a World War I epic.,surprise,"['surprised', 'see', 'kangaroo', 'world', 'war', 'epic']",6
71,You fell asleep!!,anger,"['fell', 'asleep']",2
72,There was no kangaroo!,anger,['kangaroo'],1
73,They didn’t take any of my suggestions!,anger,"['didnt', 'take', 'suggestion']",3
74,That’s for coming buddy.,neutral,"['thats', 'coming', 'buddy']",3
75,I’ll see you later.,neutral,"['ill', 'see', 'later']",3
76,Don’t go!,sadness,"['dont', 'go']",2
77,I’m sorry.,sadness,"['im', 'sorry']",2
78,I’m so sorry!,sadness,"['im', 'sorry']",2
79,Look!,surprise,['look'],1
80,This guy fell asleep!,anger,"['guy', 'fell', 'asleep']",3
81,He fell asleep too!,anger,"['fell', 'asleep']",2
82,Be mad at him!,anger,['mad'],1
83,"Or, call an ambulance.",anger,"['call', 'ambulance']",2
84,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,"['okay', 'look', 'think', 'tell', 'rachel', 'messed', 'dessert']",7
85,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger,"['everybody', 'thanksgiving', 'nottruthday']",3
86,"Yes, and it is my dying wish to have that ring.",neutral,"['yes', 'dying', 'wish', 'ring']",4
87,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,"['see', 'im', 'buried', 'ring', 'spirit', 'going', 'wander', 'nether', 'world', 'eternity']",10
88,"Okay, that’s enough honey!",neutral,"['okay', 'thats', 'enough', 'honey']",4
89,I don’t know.  Let me see the ring.,neutral,"['dont', 'know', 'let', 'see', 'ring']",5
90,"Great! Okay, here.",joy,"['great', 'okay']",2
91,All right.,neutral,['right'],1
92,Thank you. Thank you. Thank you!  And,joy,"['thank', 'thank', 'thank']",3
93,What've you been up to?,neutral,['whatve'],1
94,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,"['oh', 'know', 'usual', 'teaching', 'aerobics', 'partying', 'way', 'much']",8
95,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,"['oh', 'case', 'wondering', 'leg', 'new', 'james', 'bond', 'poster']",8
96,Can you hold on a moment? I have another call.  I love her.,joy,"['hold', 'moment', 'another', 'call', 'love']",5
97,I know.,neutral,['know'],1
98,I'm back.,neutral,"['im', 'back']",2
99,"So, are we gonna get together or what?",neutral,"['gon', 'na', 'get', 'together']",4
100,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,"['um', 'absolutely', 'uh', 'bout', 'tomorrow', 'afternoon', 'know', 'uh', 'central', 'perk', 'village', 'say', 'fiveish']",13
101,"Great, I'll see you then.",neutral,"['great', 'ill', 'see']",3
102,Ok.  Ok. Having a phone has finally paid off.,joy,"['ok', 'ok', 'phone', 'finally', 'paid']",5
103,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,"['even', 'though', 'good', 'bob', 'impression', 'im', 'thinkin', 'see', 'tomorow', 'shes', 'probably', 'gon', 'na', 'realize', 'hey', 'youre', 'bob']",17
104,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral,"['im', 'hoping', 'bob', 'doesnt', 'show', 'seek', 'comfort', 'open', 'arm', 'wry', 'stranger', 'next', 'table']",13
105,Oh my god. You are pure evil.,disgust,"['oh', 'god', 'pure', 'evil']",4
106,"Ok, pure evil , horny and alone . I've done this",anger,"['ok', 'pure', 'evil', 'horny', 'alone', 'ive', 'done']",7
107,Nobody!,anger,['nobody'],1
108,Nobody respects the bucket!,anger,"['nobody', 'respect', 'bucket']",3
109,You wouldn't believe what people put in here!,anger,"['wouldnt', 'believe', 'people', 'put']",4
110,Look!,anger,['look'],1
111,"Okay, does this look like a garbage can to you?",anger,"['okay', 'look', 'like', 'garbage']",4
112,No.,neutral,[],0
113,This is my wedding.,neutral,['wedding'],1
114,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger,"['right', 'yknow', 'really', 'late', 'let', 'go', 'let', 'go', 'let', 'go']",10
115,Fine. You’ll-you’ll watch it on video when we get back.,neutral,"['fine', 'youllyoull', 'watch', 'video', 'get', 'back']",6
